io.kevinlee%extras-type-info extrasTypeInfoJVM
io.kevinlee%extras-refinement_2.13 extrasRefinementJVM
io.kevinlee%extras-cats_sjs1 extrasCatsJS
io.kevinlee%extras-cats_native0.5 extrasCatsNative
io.kevinlee%extras-scala-io extrasScalaIoJVM
io.kevinlee%extras-circe_sjs1 extrasCirceJS
io.kevinlee%extras-concurrent extrasConcurrentJVM
io.kevinlee%extras-doobie-tools-ce2 extrasDoobieToolsCe2JVM
io.kevinlee%extras-hedgehog-circe_sjs1 extrasHedgehogCirceJS
io.kevinlee%extras-string_native0.5 extrasStringNative
io.kevinlee%extras-hedgehog-circe extrasHedgehogCirceJVM
io.kevinlee%extras-scala-io_native0.5 extrasScalaIoNative
io.kevinlee%extras-fs2-v2-text extrasFs2V2TextJVM
io.kevinlee%extras-fs2-v3-text_sjs1 extrasFs2V3TextJS
io.kevinlee%extras-render_native0.5 extrasRenderNative
io.kevinlee%extras-core_native0.5 extrasCoreNative
io.kevinlee%extras-testing-tools_sjs1 extrasTestingToolsJS
io.kevinlee%extras-fs2-v3-text extrasFs2V3TextJVM
io.kevinlee%extras-concurrent_native0.5 extrasConcurrentNative
io.kevinlee%extras-doobie-newtype-ce3_2.13 extrasDoobieNewtypeCe3JVM
io.kevinlee%extras-concurrent-testing extrasConcurrentTestingJVM
io.kevinlee%extras-render_sjs1 extrasRenderJS
io.kevinlee%extras-string_sjs1 extrasStringJS
io.kevinlee%extras-reflects extrasReflectsJVM
io.kevinlee%extras-circe extrasCirceJVM
io.kevinlee%extras-testing-tools-effectie extrasTestingToolsEffectieJVM
io.kevinlee%extras-concurrent_sjs1 extrasConcurrentJS
io.kevinlee%extras-cats extrasCatsJVM
io.kevinlee%extras-hedgehog-ce3 extrasHedgehogCe3JVM
io.kevinlee%extras-render-refined_2.13 extrasRenderRefinedJVM
io.kevinlee%extras-doobie-newtype-ce2_2.13 extrasDoobieNewtypeCe2JVM
io.kevinlee%extras-fs2-v2-text_sjs1 extrasFs2V2TextJS
io.kevinlee%extras-hedgehog-ce3_native0.5 extrasHedgehogCe3Native
io.kevinlee%extras_2.13 extras
io.kevinlee%extras-render-refined_sjs1_2.13 extrasRenderRefinedJS
io.kevinlee%extras-string extrasStringJVM
io.kevinlee%extras-core extrasCoreJVM
io.kevinlee%extras-testing-tools-cats extrasTestingToolsCatsJVM
io.kevinlee%extras-doobie-tools-ce3 extrasDoobieToolsCe3JVM
io.kevinlee%extras-render extrasRenderJVM
io.kevinlee%extras-scala-io_sjs1 extrasScalaIoJS
io.kevinlee%extras-core_sjs1 extrasCoreJS
io.kevinlee%extras-circe_native0.5 extrasCirceNative
io.kevinlee%extras-concurrent-testing_native0.5 extrasConcurrentTestingNative
io.kevinlee%extras-hedgehog-circe_native0.5 extrasHedgehogCirceNative
io.kevinlee%extras-hedgehog-ce3_sjs1 extrasHedgehogCe3JS
io.kevinlee%extras-testing-tools extrasTestingToolsJVM
io.kevinlee%extras-testing-tools_native0.5 extrasTestingToolsNative
